--------------------------------------------------
dataset: ZINC
device: 0
downsample: False
handtune: 
model:
  embs: (0, 1, 2)
  embs_combine_mode: concat
  gnn_type: GCNConv
  hidden_size: 128
  hops_dim: 16
  mini_layers: 0
  mlp_layers: 1
  num_layers: 6
  pool: add
  residual: True
  use_normal_gnn: False
  virtual_node: False
num_workers: 8
sampling:
  batch_factor: 1
  mode: None
  random_rate: 0.5
  redundancy: 0
  stride: 2
seed: None
subgraph:
  hops: 3
  online: True
  walk_length: 0
  walk_p: 1.0
  walk_q: 1.0
  walk_repeat: 5
task: -1
train:
  batch_size: 128
  dropout: 0.0
  epochs: 100
  lr: 0.001
  lr_decay: 0.5
  lr_patience: 50
  runs: 1
  wd: 0.0
version: final
--------------------------------------------------
Time: 2023/01/07 - 03:58
T[-1] GNN[GCNConv] L[6] Mini[0] Emb[(0, 1, 2)-concat-1] H[128] HopsEmb[16] Pool[add] VN[False] WithOri[False] Hops[3] WalkL[0] p[1.0] q[1.0] Smp[None] MR[0] Reg[0.0-0.0] Seed[None] GPU[0]
Epoch: 001, Train Loss: 0.6845, Val: -0.5811, Test: -0.6232, Seconds: 108.4982, Memory Peak: 67 MB allocated, 90 MB reserved.
Epoch: 002, Train Loss: 0.5579, Val: -0.5448, Test: -0.6015, Seconds: 108.7278, Memory Peak: 67 MB allocated, 90 MB reserved.
Epoch: 003, Train Loss: 0.5637, Val: -0.6332, Test: -0.6015, Seconds: 99.0498, Memory Peak: 67 MB allocated, 90 MB reserved.
Epoch: 004, Train Loss: 0.5449, Val: -0.5915, Test: -0.6015, Seconds: 99.4116, Memory Peak: 67 MB allocated, 90 MB reserved.
Epoch: 005, Train Loss: 0.5384, Val: -0.6042, Test: -0.6015, Seconds: 98.7859, Memory Peak: 67 MB allocated, 90 MB reserved.
Epoch: 006, Train Loss: 0.5339, Val: -1.2357, Test: -0.6015, Seconds: 98.7327, Memory Peak: 67 MB allocated, 90 MB reserved.
Epoch: 007, Train Loss: 0.5225, Val: -0.7086, Test: -0.6015, Seconds: 99.1661, Memory Peak: 67 MB allocated, 90 MB reserved.
Epoch: 008, Train Loss: 0.5112, Val: -0.5245, Test: -0.5718, Seconds: 108.2032, Memory Peak: 67 MB allocated, 90 MB reserved.
Epoch: 009, Train Loss: 0.5117, Val: -0.5675, Test: -0.5718, Seconds: 99.1928, Memory Peak: 67 MB allocated, 90 MB reserved.
Epoch: 010, Train Loss: 0.5066, Val: -0.5528, Test: -0.5718, Seconds: 98.6858, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 011, Train Loss: 0.4985, Val: -1.2022, Test: -0.5718, Seconds: 98.8873, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 012, Train Loss: 0.4866, Val: -0.6695, Test: -0.5718, Seconds: 99.2170, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 013, Train Loss: 0.4922, Val: -0.5152, Test: -0.5633, Seconds: 108.0192, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 014, Train Loss: 0.4904, Val: -0.6141, Test: -0.5633, Seconds: 99.0087, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 015, Train Loss: 0.4855, Val: -0.4880, Test: -0.5290, Seconds: 107.7659, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 016, Train Loss: 0.4792, Val: -0.6451, Test: -0.5290, Seconds: 99.2391, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 017, Train Loss: 0.4803, Val: -0.5533, Test: -0.5290, Seconds: 98.8172, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 018, Train Loss: 0.4801, Val: -0.8468, Test: -0.5290, Seconds: 99.2387, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 019, Train Loss: 0.4699, Val: -1.5713, Test: -0.5290, Seconds: 98.8759, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 020, Train Loss: 0.4648, Val: -0.6649, Test: -0.5290, Seconds: 99.0159, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 021, Train Loss: 0.4778, Val: -0.9247, Test: -0.5290, Seconds: 98.0165, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 022, Train Loss: 0.4615, Val: -0.5312, Test: -0.5290, Seconds: 99.5586, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 023, Train Loss: 0.4663, Val: -0.9157, Test: -0.5290, Seconds: 99.2926, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 024, Train Loss: 0.4557, Val: -1.0280, Test: -0.5290, Seconds: 99.0653, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 025, Train Loss: 0.4588, Val: -1.0170, Test: -0.5290, Seconds: 99.2190, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 026, Train Loss: 0.4472, Val: -0.5565, Test: -0.5290, Seconds: 98.8621, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 027, Train Loss: 0.4594, Val: -1.0016, Test: -0.5290, Seconds: 100.0105, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 028, Train Loss: 0.4534, Val: -0.5438, Test: -0.5290, Seconds: 99.1766, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 029, Train Loss: 0.4498, Val: -0.5212, Test: -0.5290, Seconds: 99.6198, Memory Peak: 69 MB allocated, 90 MB reserved.
Epoch: 030, Train Loss: 0.4468, Val: -0.6815, Test: -0.5290, Seconds: 99.2265, Memory Peak: 69 MB allocated, 90 MB reserved.
