--------------------------------------------------
dataset: ZINC
device: 0
downsample: False
handtune: 
model:
  embs: (0, 1, 2)
  embs_combine_mode: concat
  gnn_type: GCNConv
  hidden_size: 128
  hops_dim: 16
  mini_layers: 1
  mlp_layers: 1
  num_layers: 6
  pool: add
  residual: True
  use_normal_gnn: False
  virtual_node: False
num_workers: 8
sampling:
  batch_factor: 1
  mode: None
  random_rate: 0.5
  redundancy: 0
  stride: 2
seed: None
subgraph:
  hops: 4
  online: True
  walk_length: 0
  walk_p: 1.0
  walk_q: 1.0
  walk_repeat: 5
task: -1
train:
  batch_size: 128
  dropout: 0.0
  epochs: 100
  lr: 0.001
  lr_decay: 0.5
  lr_patience: 50
  runs: 1
  wd: 0.0
version: final
--------------------------------------------------
Time: 2023/01/08 - 02:59
T[-1] GNN[GCNConv] L[6] Mini[1] Emb[(0, 1, 2)-concat-1] H[128] HopsEmb[16] Pool[add] VN[False] WithOri[False] Hops[4] WalkL[0] p[1.0] q[1.0] Smp[None] MR[0] Reg[0.0-0.0] Seed[None] GPU[0]
Epoch: 001, Train Loss: 0.6492, Val: -0.5761, Test: -0.6250, Seconds: 9.9894, Memory Peak: 1488 MB allocated, 1822 MB reserved.
Epoch: 002, Train Loss: 0.4991, Val: -0.6491, Test: -0.6250, Seconds: 8.6770, Memory Peak: 1505 MB allocated, 1950 MB reserved.
Epoch: 003, Train Loss: 0.4103, Val: -0.5909, Test: -0.6250, Seconds: 8.9297, Memory Peak: 1505 MB allocated, 1950 MB reserved.
Epoch: 004, Train Loss: 0.3781, Val: -0.5773, Test: -0.6250, Seconds: 8.9350, Memory Peak: 1505 MB allocated, 1950 MB reserved.
Epoch: 005, Train Loss: 0.3536, Val: -0.5388, Test: -0.5867, Seconds: 9.6443, Memory Peak: 1505 MB allocated, 1950 MB reserved.
Epoch: 006, Train Loss: 0.3406, Val: -1.2153, Test: -0.5867, Seconds: 8.8645, Memory Peak: 1505 MB allocated, 1950 MB reserved.
Epoch: 007, Train Loss: 0.3421, Val: -0.3300, Test: -0.3155, Seconds: 9.6481, Memory Peak: 1505 MB allocated, 1950 MB reserved.
Epoch: 008, Train Loss: 0.3051, Val: -0.3665, Test: -0.3155, Seconds: 8.7791, Memory Peak: 1505 MB allocated, 1950 MB reserved.
Epoch: 009, Train Loss: 0.2967, Val: -0.3886, Test: -0.3155, Seconds: 8.9112, Memory Peak: 1505 MB allocated, 1950 MB reserved.
Epoch: 010, Train Loss: 0.3032, Val: -0.4153, Test: -0.3155, Seconds: 8.7686, Memory Peak: 1505 MB allocated, 1950 MB reserved.
Epoch: 011, Train Loss: 0.2951, Val: -0.4307, Test: -0.3155, Seconds: 8.8844, Memory Peak: 1505 MB allocated, 1950 MB reserved.
Epoch: 012, Train Loss: 0.2933, Val: -0.2947, Test: -0.2611, Seconds: 9.5693, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 013, Train Loss: 0.2950, Val: -0.5042, Test: -0.2611, Seconds: 8.9347, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 014, Train Loss: 0.2762, Val: -0.2924, Test: -0.2558, Seconds: 9.8214, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 015, Train Loss: 0.2756, Val: -0.5113, Test: -0.2558, Seconds: 8.9038, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 016, Train Loss: 0.2853, Val: -0.4693, Test: -0.2558, Seconds: 8.9923, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 017, Train Loss: 0.2635, Val: -0.2959, Test: -0.2558, Seconds: 8.7992, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 018, Train Loss: 0.2712, Val: -0.2616, Test: -0.2161, Seconds: 9.7050, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 019, Train Loss: 0.2622, Val: -0.2685, Test: -0.2161, Seconds: 8.9101, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 020, Train Loss: 0.2548, Val: -0.4892, Test: -0.2161, Seconds: 8.8403, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 021, Train Loss: 0.2597, Val: -0.2410, Test: -0.1959, Seconds: 9.5074, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 022, Train Loss: 0.2513, Val: -0.2691, Test: -0.1959, Seconds: 8.7448, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 023, Train Loss: 0.2575, Val: -0.2603, Test: -0.1959, Seconds: 8.8827, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 024, Train Loss: 0.2609, Val: -0.2876, Test: -0.1959, Seconds: 8.8231, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 025, Train Loss: 0.2408, Val: -0.2846, Test: -0.1959, Seconds: 8.8677, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 026, Train Loss: 0.2400, Val: -0.4373, Test: -0.1959, Seconds: 8.7940, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 027, Train Loss: 0.2252, Val: -0.2220, Test: -0.1908, Seconds: 9.6279, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 028, Train Loss: 0.2355, Val: -0.2513, Test: -0.1908, Seconds: 8.7472, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 029, Train Loss: 0.2281, Val: -0.2741, Test: -0.1908, Seconds: 8.7279, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 030, Train Loss: 0.2359, Val: -0.4895, Test: -0.1908, Seconds: 8.7618, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 031, Train Loss: 0.2301, Val: -0.2919, Test: -0.1908, Seconds: 8.7289, Memory Peak: 1538 MB allocated, 1964 MB reserved.
Epoch: 032, Train Loss: 0.2386, Val: -0.3170, Test: -0.1908, Seconds: 8.8849, Memory Peak: 1538 MB allocated, 1964 MB reserved.
