--------------------------------------------------
dataset: ZINC
device: 0
downsample: False
handtune: 
model:
  embs: (0, 1, 2)
  embs_combine_mode: concat
  gnn_type: GCNConv
  hidden_size: 128
  hops_dim: 16
  mini_layers: 5
  mlp_layers: 1
  num_layers: 6
  pool: add
  residual: True
  use_normal_gnn: False
  virtual_node: False
num_workers: 8
sampling:
  batch_factor: 1
  mode: None
  random_rate: 0.5
  redundancy: 0
  stride: 2
seed: None
subgraph:
  hops: 3
  online: True
  walk_length: 0
  walk_p: 1.0
  walk_q: 1.0
  walk_repeat: 5
task: -1
train:
  batch_size: 128
  dropout: 0.0
  epochs: 100
  lr: 0.001
  lr_decay: 0.5
  lr_patience: 50
  runs: 1
  wd: 0.0
version: final
--------------------------------------------------
Time: 2022/12/05 - 01:27
Epoch: 035, Train Loss: 0.2257, Val: -0.2475, Test: -0.1966, Seconds: 14.3333, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 036, Train Loss: 0.2239, Val: -0.2984, Test: -0.1966, Seconds: 14.2996, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 037, Train Loss: 0.2361, Val: -0.2507, Test: -0.1966, Seconds: 17.3846, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 038, Train Loss: 0.2382, Val: -0.4779, Test: -0.1966, Seconds: 14.1735, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 039, Train Loss: 0.2298, Val: -0.2980, Test: -0.1966, Seconds: 14.0484, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 040, Train Loss: 0.2178, Val: -0.3086, Test: -0.1966, Seconds: 14.2500, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 041, Train Loss: 0.2235, Val: -0.3245, Test: -0.1966, Seconds: 14.0359, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 042, Train Loss: 0.2198, Val: -0.3100, Test: -0.1966, Seconds: 14.1797, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 043, Train Loss: 0.2197, Val: -0.2910, Test: -0.1966, Seconds: 14.2064, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 044, Train Loss: 0.2392, Val: -0.2866, Test: -0.1966, Seconds: 14.0302, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 045, Train Loss: 0.2328, Val: -0.3596, Test: -0.1966, Seconds: 14.2125, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 046, Train Loss: 0.2118, Val: -0.2367, Test: -0.2082, Seconds: 15.5429, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 047, Train Loss: 0.2079, Val: -0.2914, Test: -0.2082, Seconds: 14.0846, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 048, Train Loss: 0.2011, Val: -0.3816, Test: -0.2082, Seconds: 14.1245, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 049, Train Loss: 0.2051, Val: -0.3592, Test: -0.2082, Seconds: 14.0945, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 050, Train Loss: 0.2187, Val: -0.2708, Test: -0.2082, Seconds: 14.4048, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 051, Train Loss: 0.2029, Val: -0.1915, Test: -0.1626, Seconds: 15.7237, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 052, Train Loss: 0.1919, Val: -0.2388, Test: -0.1626, Seconds: 14.1159, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 053, Train Loss: 0.1747, Val: -0.1850, Test: -0.1571, Seconds: 15.1526, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 054, Train Loss: 0.1829, Val: -0.2256, Test: -0.1571, Seconds: 14.0377, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 055, Train Loss: 0.1872, Val: -0.1911, Test: -0.1571, Seconds: 13.9976, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 056, Train Loss: 0.1916, Val: -0.3451, Test: -0.1571, Seconds: 13.9862, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 057, Train Loss: 0.1688, Val: -0.2530, Test: -0.1571, Seconds: 14.0317, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 058, Train Loss: 0.1635, Val: -0.2122, Test: -0.1571, Seconds: 13.9772, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 059, Train Loss: 0.1649, Val: -0.1942, Test: -0.1571, Seconds: 13.8560, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 060, Train Loss: 0.1613, Val: -0.1850, Test: -0.1571, Seconds: 14.1350, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 061, Train Loss: 0.1629, Val: -0.2002, Test: -0.1571, Seconds: 14.0912, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 062, Train Loss: 0.1753, Val: -0.2210, Test: -0.1571, Seconds: 14.1328, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 063, Train Loss: 0.1646, Val: -0.2011, Test: -0.1571, Seconds: 13.9224, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 064, Train Loss: 0.1639, Val: -0.2399, Test: -0.1571, Seconds: 14.0305, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 065, Train Loss: 0.1534, Val: -0.1873, Test: -0.1571, Seconds: 14.0026, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 066, Train Loss: 0.1482, Val: -0.2042, Test: -0.1571, Seconds: 14.0969, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 067, Train Loss: 0.1668, Val: -0.1921, Test: -0.1571, Seconds: 14.0865, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 068, Train Loss: 0.1523, Val: -0.1994, Test: -0.1571, Seconds: 14.1958, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 069, Train Loss: 0.1640, Val: -0.1837, Test: -0.1507, Seconds: 15.1967, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 070, Train Loss: 0.1607, Val: -0.1891, Test: -0.1507, Seconds: 13.9535, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 071, Train Loss: 0.1596, Val: -0.2168, Test: -0.1507, Seconds: 14.1130, Memory Peak: 2401 MB allocated, 3064 MB reserved.
